Region Label,Tini_curvature,Inclusion flag,n,ga_min,ga_max,a,amplitude,k,Tini_radiality,SE_Tini_radiality,CI_width_radiality,R2_radiality,p_fit_radiality,p_Tini_radiality,converged,q_fit_radiality,q_Tini_radiality,primary_radiality_pass,strict_radiality_pass,joint_primary_pass,joint_strict_pass,delta_weeks
Frontal_Inf_Tri_L,21.3195429119244,0,93,22.571428571428573,38.285714285714285,0.7034315681987255,-0.18929000128412277,0.688591548327954,28.524276384157805,0.37896647451693655,1.4855485801063912,0.8607277798509946,5.629126016192993e-38,2.2767469361387162e-82,True,1.5681136759394765e-37,8.131239057638272e-82,True,True,False,False,-7.2047334722334035
Frontal_Inf_Tri_R,24.4208505046386,1,93,22.571428571428573,38.285714285714285,0.7139769352218254,-0.20082023583300657,0.4617904418319729,26.99383624829308,0.4827116593516278,1.892229704658381,0.8665951579608544,8.318490618830169e-39,4.010145312962139e-71,True,2.403119512106493e-38,8.845908778592953e-71,True,True,True,True,-2.5729857436544776
Frontal_Inf_Orb_L,24.4647774185464,1,93,22.571428571428573,38.285714285714285,0.6379220863353529,-0.14296033175715,0.3845205886046204,28.197980115593378,0.6274771328169815,2.459710360642567,0.8074914968398832,9.839915175688446e-32,5.839371033769812e-63,True,2.0197720623781547e-31,9.953473353016725e-63,True,True,True,True,-3.733202697046977
Frontal_Inf_Orb_R,24.4924991454108,1,93,22.571428571428573,38.285714285714285,0.6391125602956418,-0.130506681124159,0.4115577611776701,27.89773836111626,0.6769705802699518,2.653724674658211,0.7776842804189517,5.850594502409284e-29,9.175139633109771e-60,True,1.086538979018867e-28,1.4043581071086383e-59,True,True,True,True,-3.4052392157054605
Rolandic_Oper_L,-20.3445731996898,0,91,23.0,38.285714285714285,1.156938502832832,-0.6889698853591615,0.14396557513790784,8.3005594134674,78.25214821554789,306.7484210049477,0.731960412326055,8.631555714333608e-25,0.9157674259181656,True,1.3201202857216105e-24,0.9281426614035463,False,False,False,False,-28.6451326131572
Rolandic_Oper_R,17.9624630696477,0,93,22.571428571428573,38.285714285714285,1.4010660440912437,-0.9302083586957045,0.19755340274143707,11.359731213918131,44.92778925320941,176.1169338725809,0.7270384225876159,5.240164685230179e-25,0.8009716822414529,True,8.341486641794978e-25,0.8229161118919036,False,False,False,False,6.602731855729569
Supp_Motor_Area_L,25.3722243239785,1,93,22.571428571428573,38.285714285714285,0.6359882461692786,-0.09662813117365943,1.2969415280836283,29.218420654413524,0.4302002600562479,1.6863850194204917,0.6908417733685206,1.303536801594005e-22,1.8274916118578978e-78,True,1.848652191351498e-22,5.0763655884941605e-78,True,True,True,True,-3.846196330435024
Supp_Motor_Area_R,26.0686250838403,1,93,22.571428571428573,38.285714285714285,0.6429996973208648,-0.111031825735122,3.050456076811578,29.770923589840635,0.21519602162964205,0.8435684047881968,0.7477318600175797,1.590812601122127e-26,1.0963143136260407e-105,True,2.6400719763303383e-26,8.222357352195306e-104,True,True,True,True,-3.7022985060003357
Olfactory_L,-10.8883482082734,0,93,22.571428571428573,38.285714285714285,0.5097316758814832,-0.029643894678518228,474.2436493258529,26.363520235054647,0.0,0.0,0.12613869032179692,0.007158676744904907,,True,0.007158676744904908,,False,False,False,False,-37.25186844332805
Olfactory_R,27.8312133549109,1,91,22.571428571428573,38.285714285714285,0.5438431778749478,-0.05954277921539629,1.7080417247446251,29.60140985345745,0.5897727973033046,2.3119093654289538,0.4628207468198151,9.415999423524229e-12,5.142754399017962e-66,True,1.0961909776640147e-11,9.889912305803773e-66,True,True,True,True,-1.7701964985465501
Frontal_Sup_Medial_L,29.4449076881018,1,93,22.571428571428573,38.285714285714285,0.6500184646657421,-0.09178845942024795,0.3698586436486417,28.36791718143752,1.06568600478743,4.177489138766725,0.5954363412992314,1.9134120498686837e-17,3.7130003202985936e-44,True,2.4874356648292887e-17,4.972768286114188e-44,True,True,True,True,1.0769905066642806
Frontal_Sup_Medial_R,58.1633028195668,0,93,22.571428571428573,38.285714285714285,0.667438259987952,-0.14852211237966148,0.23043248080267326,28.101441469099683,1.0428477893712294,4.087963334335219,0.6968545275889688,5.462276777792107e-23,1.4085403377534907e-44,True,8.038822427694045e-23,1.956306024657626e-44,True,True,False,False,30.06186135046712
Frontal_Med_Orb_L,28.9348765684292,1,93,22.571428571428573,38.285714285714285,0.6635800273745757,-0.1896996590550975,0.22778843596667922,23.97064710931866,2.7273741757434213,10.691306768914211,0.6540617590098471,1.8880625583260387e-20,1.027247683827916e-13,True,2.58366455349879e-20,1.1852857890322107e-13,True,False,True,False,4.964229459110541
Frontal_Med_Orb_R,30.5172333926412,1,93,22.571428571428573,38.285714285714285,0.6453568827998609,-0.1475721487379816,0.35878353388792716,26.447298630167026,1.3557611268420418,5.314583617220803,0.5593218530576174,8.341018278571339e-16,6.747183879049404e-34,True,1.016561602700882e-15,8.295717884077136e-34,True,True,True,True,4.069934762474173
Rectus_L,31.1501958373871,0,93,22.571428571428573,38.285714285714285,0.6017845311482559,-0.13759932384693202,0.19334270348458227,29.987755699305588,1.718055337733497,6.734776923915308,0.42482046665690476,1.0278926909134539e-10,1.7591991442838455e-30,True,1.1619656505978174e-10,2.1280634809885228e-30,True,True,False,False,1.1624401380815108
Rectus_R,31.5242394383309,0,93,22.571428571428573,38.285714285714285,0.6207004198356648,-0.1171282263676941,0.2984163167383016,28.966600233230118,1.0013385624320592,3.925247164733672,0.6357896596684978,1.8399641948599718e-19,4.839993039461182e-47,True,2.4324950372725053e-19,6.849046753954504e-47,True,True,False,False,2.557639205100781
Insula_L,20.3512150185057,0,90,22.571428571428573,38.285714285714285,0.5307893060749289,-0.03138071820806207,3263564717045307.0,30.29928809645363,6.392296044774625e+17,2.505780049551653e+18,0.2265490691899371,5.8763930995293126e-05,1.0,True,6.111448823510485e-05,1.0,False,False,False,False,-9.948073077947928
Insula_R,18.102511675524,0,91,22.571428571428573,38.285714285714285,0.5372025603314167,-0.0327141868500372,0.5552625610269567,25.73975701248206,2.2581828705284415,8.852076852471491,0.18982275403370885,0.00036085871182675117,6.007652979471141e-19,True,0.0003703549937169288,7.040218335317744e-19,True,False,False,False,-7.63724533695806
Cingulum_Ant_L,81.4044701648416,0,92,22.571428571428573,38.285714285714285,0.5685683016113138,-0.08654529709875418,1.2518010135703448,24.983587312479298,0.5333449369805908,2.090712152963916,0.5270173991634278,2.7303813505808688e-14,5.318195937640981e-64,True,3.2764576206970426e-14,9.49677846007318e-64,True,True,False,False,56.4208828523623
Cingulum_Ant_R,24.5204110501534,0,90,22.571428571428573,38.285714285714285,0.5375295618283462,-0.0503487050832618,15.058480888478973,27.08816972953279,34.35472730041082,134.67053101761041,0.4022016451150232,1.186267125262212e-09,0.43258151454757854,True,1.3218405110064648e-09,0.4569523040995548,False,False,False,False,-2.5677586793793914
Cingulum_Mid_L,22.0746884744645,0,90,23.0,38.285714285714285,0.683377498164789,-0.20266263284743266,0.686967221701952,21.148398361295357,8.154612198159413,31.966079816784898,0.30096719579040776,8.64265621318648e-07,0.011167212614256398,True,9.494749079275287e-07,0.011964870658131855,False,False,False,False,0.926290113169145
Cingulum_Mid_R,25.4115751858843,0,90,22.571428571428573,38.285714285714285,0.5304733799119628,-0.05154257381480424,92.00561804892624,30.137064461493825,,,0.45481749665216376,2.3931461430860934e-11,,True,2.7450793994222837e-11,,False,False,False,False,-4.725489275609526
Cingulum_Post_L,-1.50353438550264,0,92,22.571428571428573,38.285714285714285,0.7414076770456366,-0.2606829510697214,0.310298595875123,19.8396297865773,7.4707205132712105,29.285224412023144,0.5774960614074085,1.9891700085438197e-16,0.009396113997810839,True,2.5025042042970634e-16,0.010213167388924825,False,False,False,False,-21.34316417207994
Cingulum_Post_R,23.4804097697637,0,92,22.571428571428573,38.285714285714285,0.6511538005610715,-0.17596330937512428,0.32202201390745705,20.463980769047843,7.001504060567618,27.445895917425062,0.4988669926786191,3.384928837076596e-13,0.00440877441507692,True,4.0003704438177953e-13,0.004862618840158367,False,False,False,False,3.0164290007158563
ParaHippocampal_L,27.1380106824684,1,91,22.571428571428573,38.285714285714285,0.5136578092524235,-0.027042278058136495,6.540492716995721,26.450704562995575,1.0417203470029104,4.083543760251408,0.2431641577891014,2.0864513784740175e-05,5.343257694931267e-42,True,2.1992325340672075e-05,6.909384950342156e-42,True,True,True,True,0.6873061194728258
ParaHippocampal_R,27.9044790784218,0,88,22.571428571428573,38.285714285714285,0.513553090507326,-0.024312110893882445,3.42681347816873,26.355038449336124,1.232490074211272,4.831361090908187,0.18405547941306755,0.0006471913184867053,9.794572128261055e-36,True,0.0006555964005449742,1.224321516032632e-35,True,True,False,False,1.5494406290856766
Calcarine_L,27.33207677838,1,93,22.571428571428573,38.285714285714285,0.7326864716320487,-0.2552229135656993,0.311652600591846,24.0808170211429,0.9002014251378251,3.5287895865402743,0.886825812057219,5.578961179269963e-42,2.5160618606128825e-44,True,2.0721855808717004e-41,3.430993446290294e-44,True,True,True,True,3.2512597572371007
Calcarine_R,26.0451983457934,1,93,22.571428571428573,38.285714285714285,0.7106645063393965,-0.2442415481932097,0.2898207291482268,24.56166795640266,0.7875721946624347,3.087283003076744,0.9079614832104789,5.707317924552596e-46,1.0893544113984192e-49,True,3.424390754731558e-45,1.5711842472092584e-49,True,True,True,True,1.4835303893907401
Cuneus_L,24.9861321886636,1,93,22.571428571428573,38.285714285714285,0.7318202101326754,-0.23301487551406858,0.3664094260481881,26.905996517824562,0.5205201624148712,2.040439036666295,0.885927642140966,7.926995943621379e-42,3.580626002720891e-68,True,2.810480380011216e-41,7.459637505668523e-68,True,True,True,True,-1.919864329160962
