region,tini_curvature,se_tini_curvature,ci_width_curvature,amplitude_curvature,k_curvature,r2_curvature,converged_curvature,tini_fdrad,se_tini_fdrad,ci_width_fdrad,amplitude_fdrad,k_fdrad,r2_fdrad,converged_fdrad,delta_tini,manuscript_tini_curvature,manuscript_tini_fdrad,manuscript_inclusion,qc_basic,qc_ciwidth_4w,qc_ciwidth_6w,qc_ciwidth_8w,qc_ciwidth_10w,qc_r2_0_1,qc_r2_0_2,qc_r2_0_3,qc_r2_0_4
Frontal_Inf_Oper_L,26.53851830322789,0.9702651340086735,3.803439325314,0.11967943781835903,0.2535693564898285,0.801157279958551,True,25.486081442421163,2.179119191849883,8.542147232051542,-0.1861434875253336,0.2952160226491931,0.46744258280625406,True,1.0524368608067256,26.5085012859027,26.5204773290299,1,True,False,False,False,True,True,True,True,True
Frontal_Inf_Oper_R,23.576929680439683,4.127430470424268,16.17952744406313,0.11821187271564423,0.1908945997814126,0.5965914274185448,True,26.41747274160862,1.9635032911378707,7.696932901260453,-0.11631917947362827,0.5579334787962352,0.23297889771039226,True,-2.840543061168937,25.960386604932,26.778943389783,1,True,False,False,False,False,True,True,False,False
Frontal_Inf_Tri_L,21.490213671291745,4.928924303772562,19.32138327078844,0.13934043166469845,0.16200958911352634,0.8053682956703733,True,27.072633810677022,1.4953150836471902,5.861635127896986,-0.21293575667409997,0.3589047201471308,0.4853407114523449,True,-5.5824201393852775,21.3195429119244,27.0716874648204,0,False,False,False,False,False,False,False,False,False
Frontal_Inf_Tri_R,24.43343554053672,1.098060217895935,4.304396054152066,0.10796129392111611,0.3155860151351844,0.8184632369417856,True,27.225873826184483,2.404369511957149,9.425128486872024,-0.221995737850737,0.2926158411924349,0.31264157310666796,True,-2.792438285647762,24.4208505046386,27.8046225258754,1,True,False,False,False,True,True,True,True,False
Frontal_Inf_Orb_L,24.478443255385194,1.447602360470068,5.674601253042667,0.11161190663914647,0.24775825054241576,0.8134522168476871,True,26.369069465902495,1.519389085291921,5.95600521434433,-0.14476416986165785,0.38187465251917674,0.4810742754920503,True,-1.8906262105173006,24.4647774185464,26.2575198416204,1,True,False,True,True,True,True,True,True,True
Frontal_Inf_Orb_R,24.499619943796663,1.3863177003865066,5.434365385515106,0.13155157922756244,0.24557399281090356,0.8275173896581471,True,30.706324113619782,1.7546543437406659,6.87824502746341,-0.1195688339619743,0.7182976897481419,0.22403915427670773,True,-6.206704169823119,24.4924991454108,28.7545092230149,1,True,False,False,True,True,True,True,False,False
Rolandic_Oper_L,-54.39904705323478,0.0,0.0,114.56249874789296,0.10013613028771276,0.7903507174976663,False,-19.291257664190905,0.0,0.0,-649.0655849196398,0.21584301117190471,0.4417925753087577,False,-35.10778938904387,-20.3445731996898,20.4038998339967,0,False,False,False,False,False,False,False,False,False
Rolandic_Oper_R,18.114370944735867,13.819889799863923,54.17396801546658,0.1874922299092995,0.14918595297485884,0.7281838602102098,True,-15.178338751643222,0.0,0.0,-983.2992119769897,0.2510219346133922,0.3460360102045924,False,33.29270969637909,17.9624630696477,-5.08420002717189,0,False,False,False,False,False,False,False,False,False
Supp_Motor_Area_L,25.411049671556967,1.3062993642608385,5.1206935079024865,0.0942673484947225,0.21759232125702266,0.8181597544311691,True,29.376138179708295,0.9068260951409178,3.554758292952398,-0.06444121518310855,2.282006403024465,0.3003271623268783,True,-3.9650885081513287,25.3722243239785,29.3758920102076,1,True,False,True,True,True,True,True,True,False
Supp_Motor_Area_R,26.10262501939056,0.9669961869110851,3.7906250526914538,0.09943115797197505,0.23458574387092665,0.842465623646149,True,29.87667290557034,0.3695929045767332,1.448804185940794,-0.07004547238714044,4.095862420244082,0.33877566084194954,True,-3.7740478861797833,26.0686250838403,29.8772052504089,1,True,True,True,True,True,True,True,True,False
Olfactory_L,-32.271451938191845,1710.027980699411,6703.3096843416915,476.7905495507217,0.1761683929341506,0.24647740017262665,False,26.373271423828243,8.420723257053118e+19,3.3009235167648226e+20,-0.04457830408858612,148.4131591025766,0.131019042929728,True,-58.64472336202009,-10.8883482082734,26.4554349152735,0,False,False,False,False,False,False,False,False,False
Olfactory_R,32.45964187803056,2.2483175996977818,8.813404990815304,0.08464431818273532,0.3875579443523483,0.10660154826326185,True,26.279099257909287,1.3140153837750965,5.150940304398378,-0.08189544041323917,0.6757700097555548,0.337955334208602,True,6.1805426201212725,27.8312133549109,26.2020874549559,1,True,False,False,False,True,True,False,False,False
Frontal_Sup_Medial_L,26.914972768164088,2.1294130860954454,8.347299297494146,0.0845095798594917,0.16287465101339685,0.5436491645123338,True,29.759884061362598,1.9689476297004287,7.71827470842568,-0.07040871527577736,0.6257144648554473,0.18793512421041458,True,-2.8449112931985105,29.4449076881018,29.7598603940001,1,True,False,False,False,True,True,False,False,False
Frontal_Sup_Medial_R,164.0984510974094,4793.171795315781,18789.233437637864,2245.105852989071,0.010564584387674738,0.6283511333026841,False,33.32229899825619,0.4819466477619039,1.8892308592266631,-0.0815679746213601,6.247247049180545,0.25224035580924387,True,130.7761520991532,58.1633028195668,28.4879464917587,0,False,False,False,False,False,False,False,False,False
Frontal_Med_Orb_L,29.686387099431816,0.7331995971445338,2.8741424208065722,0.08557983781016884,0.838430987407636,0.5588816949621729,True,25.325628677480655,2.2849208249442823,8.956889633781586,-0.14081081502204468,0.37221156865600025,0.3421750129833363,True,4.360758421951161,28.9348765684292,25.3250033301464,1,True,False,False,False,True,True,True,True,False
Frontal_Med_Orb_R,29.6390985469703,1.742935881408472,6.832308655121211,0.20078394698655552,0.20280933783725816,0.3644520963917627,True,26.176219140063797,2.1573131101865264,8.456667391931184,-0.13581516780519326,0.3695424089427221,0.3333081863002203,True,3.4628794069065023,30.5172333926412,26.1749587352225,1,True,False,False,False,True,True,True,True,False
Rectus_L,28.98839640526412,1.606948351769525,6.299237538936539,0.04351626576363927,0.3291402310636299,0.39160705675273055,True,26.46276947072349,2.151385864062277,8.433432587124127,-0.12090199851845995,0.3590989891861057,0.3342452561189556,True,2.525626934540629,31.1501958373871,26.4594464109468,0,True,False,False,False,True,True,True,True,False
Rectus_R,30.969674780925352,1.080293794861435,4.234751675856826,0.03823551573731002,0.6857683401833822,0.4163366845622892,True,26.714940191610967,1.5679520542704415,6.146372052740131,-0.12721288620164348,0.4674282175430091,0.3811848573020181,True,4.254734589314385,31.5242394383309,26.7153565159245,0,True,False,False,True,True,True,True,True,False
