Region Label,Tini_curvature,Tinit-FDrad,FDR_p_Tini-curvature,FDR_p_Tini-FDrad,FDR_p_fit_curvature,FD_p_fit_FDrad,Time within range,Significant flag,Inclusion flag
Parietal_Inf_L,26.8935456385801,25.6405678751692,<1.00E-14,<1.00E-14,1.38984859630885e-51,4.53607374604501e-19,1,1,1
Parietal_Inf_R,27.5115202213709,27.2590836097441,<1.00E-14,<1.00E-14,1.38984859630885e-51,2.76492976701092e-20,1,1,1
SupraMarginal_L,25.7220455982077,1.15862548751746,<1.00E-14,0.998715817487354,3.42624788198817e-32,1.08271766737586e-16,0,0,0
SupraMarginal_R,21.5219549760502,25.5466099903732,1.45182949603158e-07,<1.00E-14,2.5097093591415e-37,6.59847000075788e-14,0,1,0
Angular_L,26.9684431451229,26.4221095655476,<1.00E-14,<1.00E-14,8.21680826052488e-44,4.20267905108864e-25,1,1,1
Angular_R,27.1610446507035,27.4152763092754,<1.00E-14,<1.00E-14,8.32952248937703e-52,4.01449307576887e-20,1,1,1
Precuneus_L,27.6374523590309,26.8424522774706,<1.00E-14,<1.00E-14,3.87267249123762e-48,5.31360276711082e-29,1,1,1
Precuneus_R,26.5727774370475,27.1296936206738,<1.00E-14,<1.00E-14,1.23227928929951e-52,7.05622080372882e-23,1,1,1
Paracentral_Lobule_L,24.9930791456695,27.1237774691853,<1.00E-14,<1.00E-14,8.45606921596957e-29,3.69530526825012e-10,1,1,1
Paracentral_Lobule_R,25.2751438730175,29.1785484531935,<1.00E-14,<1.00E-14,4.77986528002231e-39,8.78103832245834e-09,1,1,1
Heschl_L,-2.72625553796035,22.5121975973793,0.999811800296658,8.74611861769768e-05,5.37370330943518e-16,1.23807510349986e-12,0,0,0
Heschl_R,25.1944663434115,-33.5812650931287,<1.00E-14,0.998715817487354,1.38725040527745e-08,9.27141402632934e-05,0,0,0
Temporal_Sup_L,21.632404351322,24.513637158486,1.00895919971357e-11,<1.00E-14,1.12084318899931e-37,6.91839287965593e-25,0,1,0
Temporal_Sup_R,24.6465410044287,25.0553186141288,<1.00E-14,<1.00E-14,1.08421499699214e-22,1.15802858979743e-13,1,1,1
Temporal_Pole_Sup_L,22.2565184117322,26.1384110259438,2.4328935100037e-10,1.17161182716325e-14,2.37221892200925e-25,8.65784687979743e-09,0,1,0
Temporal_Pole_Sup_R,21.437404528057,33.3234561872366,0.000599625959227446,<1.00E-14,3.55412739439724e-27,9.51105060454559e-09,0,1,0
Temporal_Mid_L,27.669392343402,26.5254904454299,<1.00E-14,<1.00E-14,1.10939132790074e-51,6.36983745767351e-20,1,1,1
Temporal_Mid_R,26.4548248472767,27.6000242929154,<1.00E-14,<1.00E-14,1.47765780965487e-56,4.26238870244505e-15,1,1,1
Temporal_Pole_Mid_L,34.6993724577743,33.3265936606647,<1.00E-14,<1.00E-14,0.0148132904878385,8.80501210897768e-09,1,1,1
Temporal_Pole_Mid_R,-791683.712751296,34.6925759974023,,<1.00E-14,,3.98827128795895e-11,0,0,0
Temporal_Inf_L,29.7209898325554,29.8562148909291,<1.00E-14,<1.00E-14,1.36130020066997e-44,5.38611732802173e-15,1,1,1
Temporal_Inf_R,30.0306969512836,30.5830667156539,<1.00E-14,<1.00E-14,2.95658902096828e-32,3.06972142097276e-09,1,1,1
