t,"curvature, k3 = 0","curvature, k3 = 0.06","curvature, k3 = 0.13","curvature, k3 = 0.21","curvature, k3 = 0.28","curvature, k3 = 0.33","diameter, k = 0","diameter, k = 0.06","diameter, k = 0.13","diameter, k = 0.21","diameter, k = 0.28","diameter, k = 0.33",0°: κ = 0 (radially aligned),30°: κ = 0.06,45°: κ = 0.13,60°: κ = 0.21,75°: κ = 0.28,90°: κ = 0.33 (isotropic)
0.6,0.49138464916388763,0.49153442532079344,0.491856431,0.4926614224995512,0.4943612403748719,0.5107985405858181,2.0255011357731183,2.025518377,2.025288377909149,2.0239530531127463,2.0198603103025277,2.0139584213818713,0.9953001649829296,0.9956120114154012,0.9961511133041733,0.9971235902188353,0.9985406483851312,1.028727022442378
0.61,0.49031326500216943,0.4904590191049887,0.49077319,0.49156249284914555,0.4938449025903788,0.516331815469865,2.0295964994773996,2.029676678,2.029556777828626,2.0284354503297064,2.0246477160594143,2.018933804700668,0.9951380862957376,0.9954732325921519,0.996052054141076,0.9971027865476496,0.9998619541171944,1.0424397566945776
0.62,0.4892438497591506,0.48938603808954434,0.489693668,0.49047005615865147,0.4952771878578607,0.5229982779860333,2.033696890158555,2.033841098,2.033831203073521,2.0329238587532634,2.029442022244846,2.023916856848463,0.9949736957843838,0.9953334370539086,0.9959542619259254,0.9970882791689756,1.0051363376979972,1.0585050309186512
0.63,0.4881766634086902,0.4883155382285801,0.488617971,0.48943410740376786,0.49801185395271436,0.5301948496409321,2.037801362587328,2.038011595,2.0381115944631545,2.0374181890472487,2.034242881633432,2.028906676253707,0.9948070698775644,0.995192728928512,0.9958579519581613,0.9971819527645414,1.0130770688723776,1.0757158701518175
0.64,0.48711130683460646,0.48724788187677526,0.487546211,0.48965322257837973,0.5016922333658645,0.538204848073312,2.041911661303893,2.042186858,2.04239789816412,2.041918329200124,2.0390499381507405,2.033902403015654,0.9946382577785615,0.9950512209570868,0.9957633566042807,0.9998318901347015,1.022975517415373,1.0946561338109844
0.65,0.48604782155750165,0.4861831768425091,0.486850293,0.49123633185408977,0.5057517002175215,0.5470876786667676,2.0460277975833923,2.04636669,2.0466900856849413,2.0464241570586825,2.043862862295822,2.0389031978676773,0.9944673538615008,0.9949090583288901,0.9964316678959088,1.0052778963311049,1.033687117617562,1.1154588175476765
0.66,0.48499957598785276,0.48540001216824025,0.487385069,0.49367709013468924,0.5107268911846968,0.5562081800185152,2.0501499069148994,2.050552197,2.0509876618915075,2.0509356018411995,2.048681327600417,2.0439081896078863,0.994321835565262,0.9953380613754118,0.999620763109141,1.012499919970601,1.0463166454734985,1.136838454266741
0.67,0.48447062953948883,0.48577578474037897,0.489104082,0.4968333668287796,0.5163328140889338,0.5656801306421383,2.0542776998308465,2.054743435,2.055289551601357,2.0554525317198378,2.0535049717717695,2.048916569486336,0.9952372104859832,0.9981446045772667,1.0052505093801734,1.021217401691106,1.0602920008205343,1.1590313927018725
0.68,0.4850063236708774,0.48725699005382206,0.491414731,0.5002459212185105,0.522343771872776,0.576100658957535,2.058411476851161,2.058940402,2.0595968501680253,2.059974767161579,2.05833349425669,2.053927539280567,0.9983425829895232,1.0032331029787265,1.0121162320937673,1.0304939750856308,1.0751576811621104,1.183269008830563
0.6900000000000001,0.4865911466461498,0.4893456935847995,0.494326788,0.5043960785210585,0.5288919345717136,0.5871937841673901,2.062551041653427,2.063142944,2.063909602274227,2.0645015953461137,2.063166360743334,2.0589402307507916,1.0036190763743515,1.0095901148962652,1.0202458044145761,1.0413265087930488,1.0911920478768238,1.2089969054690366
0.7000000000000001,0.48868369193385686,0.49201532172070006,0.497456523,0.5091331016150864,0.5362719923705691,0.5988923404708296,2.0666964626832978,2.067351226,2.0682278085009944,2.0690330977055056,2.068003326925555,2.0639538991363504,1.0099608574907164,1.0171684785700736,1.0288534143888144,1.0534132383790742,1.1090122643593328,1.2360861812776636
0.71,0.49130713182717767,0.494995931421392,0.501289592,0.5141136509244489,0.5438836649696951,0.6108758622098226,2.070847605874183,2.07156507,2.0725512420446854,2.073569592696836,2.072844172626011,2.0689676688275984,1.0174221976932225,1.0254162813246712,1.0389483665236736,1.066050433747293,1.1273860855189102,1.263882408579306
0.72,0.49422508231775564,0.49836173462667016,0.505502102,0.5195604337211495,0.5516668566554583,0.6233991058373592,2.075004647795109,2.075784566,2.0768800177454394,2.0781108010824556,2.0776886003525292,2.0739807895877265,1.0255193428662632,1.0344915970230295,1.0498672145721168,1.079704149131006,1.1461919392653586,1.2929177697528489
0.73,0.4975083391613525,0.5022705518103179,0.510087519,0.5252616332239638,0.5597772056940792,0.6365402639788154,2.0791675293292062,2.080009551,2.0812141078770994,2.0826567365437763,2.0825362576418462,2.0789924640073956,1.034403184354786,1.0447275449515014,1.0616013407948282,1.0939396788818745,1.1657563270593576,1.3233624118492353
0.74,0.5013077150180633,0.5064891588189224,0.514956679,0.531643592569989,0.5686543654210857,0.6501333699419896,2.0833362479232274,2.084240161,2.085553366649183,2.087207155799453,2.0873866794241263,2.0840018774621654,1.0443925340606985,1.0556450459215054,1.0739696355669326,1.1096503107470101,1.1870015475763538,1.3548791635599107
0.75,0.5053321974688919,0.5109736441529535,0.52017642,0.5383180276597221,0.5779265469706031,0.6646538034176381,2.0875110402174837,2.088476412,2.0898977660645226,2.091762159767773,2.0922396341441725,2.0890082290716068,1.0548865411936734,1.0671564029671252,1.0871155381174409,1.1260332801794282,1.2091608271959795,1.3884672648231882
0.76,0.5096996284852621,0.5158945392069778,0.525533476,0.5451267427892791,0.5877966665275648,0.6795650826387456,2.0916919943337633,2.092718656,2.0942475297942464,2.0963216677353325,2.097094701299639,2.094010659469348,1.066134632417516,1.079622126726966,1.100597183937184,1.1427610025711512,1.232665274816547,1.4230165268487016
0.77,0.5144924046870376,0.520963142930566,0.531500574,0.5520782962403206,0.5979169699747802,0.694791086809231,2.0958783967213015,2.096966511,2.098602699687391,2.100885385448084,2.101951444428461,2.0990083692751647,1.0783135162607553,1.0924422641907034,1.1154085394817979,1.1598532241943673,1.2567924386867777,1.4583723061103633
0.78,0.5194488325944737,0.5261936011283842,0.537741302,0.5593806889039326,0.6082853114088619,0.7103445735928521,2.100068686056167,2.101220018,2.102963046512534,2.1054531702725328,2.1068095774361364,2.1040005404838986,1.090878227340086,1.1056485280344681,1.1308500866895368,1.1777498448420183,1.281541319889913,1.4945653667691652
0.79,0.5245515017710994,0.5319761710364351,0.544106557,0.56741973720837,0.6191063866815564,0.7262304857036889,2.104262539196715,2.105477417,2.1073283940391105,2.110024834683067,2.111668571156218,2.1089862897725395,1.103794075056304,1.1200638144993436,1.1466111969489596,1.1972697371990002,1.3073474989575313,1.5316101375639322
0.8,0.5299818881821939,0.5380289811319485,0.550602211,0.5756149094926797,0.6304290664213829,0.7424508995285607,2.108462390760197,2.109737943,2.111698443094322,2.1146002636042445,2.116527434405248,2.1139650045511487,1.117446879016232,1.1351001559277027,1.1627058317329915,1.2171954393477538,1.334320414527345,1.5695152192008983
0.81,0.5358273045156944,0.5441912532987166,0.557280908,0.5840825064400128,0.6420955136418218,0.7590309454262856,2.1126673513564613,2.114003805,2.1160703523892885,2.1191790947440112,2.1213866830621697,2.118935688029019,1.1320248522156442,1.1504223801212057,1.1792456073713826,1.2377754372533594,1.3621328718937245,1.6083377585821632
