t,"curvature, FDrad = 0","curvature, FDrad = 0.1","curvature, FDrad = 0.5","curvature, FDrad = 1.0","diameter, FDrad = 0","diameter, FDrad = 0.1","diameter, FDrad = 0.5","diameter, FDrad = 1.0",FDrad = 0,FDrad = 0.1,FDrad = 0.5,FDrad = 1.0
0.21,0.5430485788441969,0.5414367012260027,0.53823205295009,0.536485378992635,1.8402122876093703,1.8458006723120428,1.8568929296150027,1.8629886465142782,0.9993246675578971,0.9993842271373705,0.9994392936151899,0.9994661700841887
0.22,0.5420780743990704,0.5403637406775014,0.5370706262868242,0.5353218035407106,1.8433838218953125,1.8493539424697416,1.8608025921877256,1.866932936236134,0.9992579525514099,0.9993238141896342,0.9993824135824078,0.9994099065154817
0.23,0.5410815017386617,0.5392683005464642,0.5359007177817046,0.5341557835363555,1.846651193860487,1.8529942523058107,1.864754121874079,1.8708979943954538,0.9991888011615248,0.9992610613633207,0.9993230723987112,0.9993509841128997
0.24,0.540060205610537,0.5381523416421585,0.5347238202620501,0.5329880963870847,1.8500113678748318,1.8567161986114846,1.8687429484918168,1.8748813694056974,0.9991175197163125,0.9991961700476976,0.9992613685053118,0.9992894520311532
0.25,0.539015560998706,0.5370177709185671,0.5335412478141103,0.5318193929596932,1.8534612790437701,1.86051454306575,1.8727650625252146,1.8788810175997839,0.9990444711131569,0.9991293726787454,0.9991974083223732,0.9992253622234076
0.26,0.5379489696080864,0.5358664345311586,0.5323541599588194,0.5306502198548739,1.8569978460361345,1.8643842346163562,1.8768169369986438,1.882895229929901,0.9989700778395744,0.9990609323999697,0.9991313038923976,0.9991587677259954
0.27,0.5368618567728181,0.5347001095766547,0.5311635790749372,0.5294810353428772,1.8606179826271212,1.8683204368319746,1.8808954754130789,1.8869225846810318,0.9988948248980912,0.9989911422983602,0.9990631725862664,0.9990897237487705
0.28,0.5357556687322913,0.5335205005241993,0.529970409771162,0.5283122271086782,1.8643186082365018,1.8723185401727878,1.8849979542226643,1.890961887747372,0.9988192626858016,0.9989203246937239,0.9989931382171875,0.9990182862934445
0.29,0.5346318702323186,0.5323292382471775,0.5287754365594135,0.5271441296309569,1.8680966576557272,1.8763741669179441,1.8891220366958406,1.8950121197538174,0.9987440098572249,0.9988488309421114,0.9989213296678515,0.9989445145077408
0.3,0.5334919424567435,0.5311278722341474,0.5275793579536864,0.5259770187233861,1.8719490899038793,1.880483200969392,1.8932656598780753,1.8990724629781683,0.9986697561529537,0.9987770413029317,0.9988478812742373,0.998868472416935
0.31,0.5323373813141501,0.5299178765599546,0.5263827898408224,0.524811125284814,1.8758728961014932,1.8846417691934993,1.8974270304588416,1.9031422393391042,0.9985972651888596,0.9987053644072152,0.9987729338123122,0.998790220204616
0.32,0.531169696079351,0.5287006503010604,0.5251862788340441,0.5236466592154003,1.8798651063687193,1.8888462437685172,1.9016045820442191,1.9072208509434994,0.9985273772200496,0.9986342373991303,0.9986966342575712,0.9987098269825164
0.33,0.5299904083735977,0.5274775204127649,0.523990310432815,0.5224837880748633,1.8839227958380738,1.8930932367741704,1.9057969495220162,1.911307844023602,0.9984610119105506,0.9985641264438145,0.998619135201953,0.9986273625226515
0.34,0.528801051463228,0.5262497450106899,0.522795319938482,0.5213226690413432,1.8880430898542486,1.8973795924507932,1.910002938282394,1.9154027988139872,0.9983991711228085,0.9984955267157166,0.998540597202785,0.9985428993669667
0.35000000000000003,0.5276031698659068,0.5250185169820274,0.521601698511464,0.520163434543721,1.8922231683894348,1.901702379365029,1.9142215032811998,1.9195053867519296,0.9983429417359754,0.9984289629554204,0.9984611874386418,0.9984565145980573
0.36,0.5263983192573338,0.5237849695784502,0.5204097975902439,0.5190062097655108,1.8964602696970645,1.9060588781287322,1.918451737833856,1.9236153055415413,0.9982934985068448,0.9983649914953929,0.9983810805727685,0.9983682887760403
0.37,0.5251880666687347,0.5225501792962968,0.5192199409047598,0.5178511023411875,1.9007516932500343,1.9104465732489242,1.9226928391196965,1.9277323189597149,0.9982521069953095,0.9983041993872211,0.9983004623057335,0.998278306392022
0.38,0.5239739909600359,0.5213151736107865,0.5180324222361045,0.5166982119270405,1.905094802023366,1.914863134870318,1.9269441067930582,1.9318562212590857,0.9982201265734026,0.9982472075958148,0.9982195231555947,0.9981866552246986
0.39,0.5227576835536558,0.5200809332291215,0.51684751528267,0.5155476348982732,1.909487024176578,1.9193064134385067,1.9312049265532543,1.93598682783482,0.9981990135343115,0.9981946706537367,0.9981384677907007,0.9980934302844517
0.4,0.5215407494141444,0.5188483996148029,0.5156654776667627,0.5143994585577409,1.9139258541814996,1.9237744213516943,1.93547474277356,1.94012398719744,0.9981903243129258,0.99814727973822,0.9980575077442825,0.9979987285492486
0.41000000000000003,0.5203248082614963,0.5176184903631097,0.5144865852462502,0.5132537692954873,1.9184088534394808,1.9282652836392475,1.9397529400932032,1.9442675595532841,0.9981957188330548,0.9981057651369408,0.9979768663699263,0.9979026534596613
0.42,0.5191114960040805,0.5163920751941068,0.513311043869825,0.5121106923853421,1.922933650434444,1.9327773314342203,1.9440391849887475,1.9484172556586086,0.9982169639936118,0.9980708970674449,0.9978967833704178,0.9978053098508782
0.43,0.5179024663770444,0.5151700006157341,0.5121390673486073,0.5109703069064103,1.9274979404686556,1.9373090124284897,1.9483331267374702,1.9525729918089239,0.9982559373053903,0.9980434851256523,0.9978175104117238,0.9977068208817736
0.44,0.5166993927695275,0.5139531009955326,0.5109708653651405,0.5098326681805049,1.932099485025149,1.9418588811697193,1.952634431675572,1.9567347593122788,0.9983146306828112,0.9980243936728926,0.9977393052950363,0.9976073032617171
0.45,0.5155039702257642,0.5127421860330109,0.509806643176859,0.5086978521790384,1.9367361107968013,1.9464256055295925,1.9569428066975627,1.9609024956763386,0.9983951543953566,0.9980145199298702,0.9976624431715853,0.9975068878830695
0.46,0.5143179176044981,0.5115380555900866,0.5086466032950485,0.5075659360765724,1.9414057084199103,1.9510079502089757,1.9612579923153572,1.965076142630492,0.9984997411800136,0.9980148132906999,0.9975872159764728,0.9974057117959857
0.47000000000000003,0.5131429798798167,0.5103415032576555,0.507490955820624,0.506436998182128,1.9461062309483665,1.955604764829669,1.9655797282306249,1.9692556372872585,0.9986307505115236,0.9980262754610071,0.9975139350214022,0.9973039136009926
0.48,0.5119809305663074,0.509153316177387,0.506339911904438,0.505311121340884,1.950835692102738,1.9602149862073115,1.9699077940081189,1.9734409228543748,0.9987906730247262,0.9980499606480636,0.9974429388779366,0.997201645627533
0.49,0.5108335742496554,0.507974280504217,0.5051936667519222,0.5041884058391568,1.9555921643260303,1.9648376233370488,1.9742419921765948,1.9776319152861566,0.9989821350772855,0.9980869780222531,0.9973745510833137,0.9970990827047657
0.5,0.5097027492034588,0.5068051878963925,0.504052429668893,0.5030689347318108,1.9603737766753107,1.9694717501971448,1.9785821297764383,1.9818285799631277,0.9992079034377732,0.9981385004153009,0.9973091298132666,0.996996392543108
0.51,0.508590330072115,0.5056468332282211,0.502916413101536,0.5019527949383151,1.9651787125765015,1.9741164997096994,1.9829280256392616,1.9860308599600187,0.9994708900799768,0.99820575650179,0.9972470500930081,0.996893740990677
0.52,0.5074982305974288,0.5045000218519113,0.50178583012658,0.500840085189299,1.9700052074674992,1.9787710779899519,1.98727951699754,1.9902387039005833,0.9997741570574765,0.9982900520858609,0.9971887021301594,0.9967913220086082
0.53,0.5076787463074492,0.5033655703873499,0.5006608997938766,0.4997309015431966,1.9748515463531806,1.9834347453572756,1.9916364539733613,1.9944520499346408,1.0025901571959102,0.9983927619228531,0.9971344991085889,0.9966893209985146
0.54,0.5108892883486476,0.5022443137659437,0.4995418499649957,0.4986253462125749,1.979716061294046,1.9881067545282056,1.9959986833375325,1.9986708561908784,1.0114157296869026,0.9985153126214561,0.9970848748021266,0.9965879476331603
0.55,0.5158106400553295,0.5011768789949401,0.498428909590568,0.49752352000981187,1.9845971288485078,1.9927864204459114,2.0003660918923463,2.0028950758155335,1.0236763152833182,0.9987384787025804,0.9970402899638481,0.9964874083300632
0.56,0.5216810402937595,0.5018321126242778,0.49732230465070615,0.4964255285756772,1.989493167487602,1.9974730954807398,2.0047386563035,2.007124694130313,1.0378808652722589,1.0023961434152555,0.9970012487752166,0.996387937200935
0.5700000000000001,0.5290737403142657,0.5046911707265218,0.4962222956253698,0.4953314655533421,1.9944026349995005,2.0021661362775065,2.0091161674767837,2.0113598171723304,1.055186061791813,1.0104755713068916,0.9969682368033745,0.9962898059950727
0.58,0.5371969169189107,0.5087414549085961,0.4951291360497459,0.4942414636680376,1.9993240259001825,2.006864969720202,2.013498508966767,2.0156002928751384,1.0740307026354825,1.0209754045005512,0.996941777182167,0.9961932389203337
0.59,0.5461708470652312,0.5134328449331952,0.4943508370848844,0.49315564015661545,2.004255868865785,2.0115689944005437,2.017885544908908,2.0198460924794057,1.094666125633887,1.0328055915744778,0.9975434082672068,0.9960984927545197
0.6,0.5562273870169565,0.5192379363713758,0.49510747247772424,0.4920741335885931,2.009196724201147,2.016277472018879,2.0222771456843907,2.024097136323499,1.1175702439054325,1.0469277537231774,1.001244526249265,0.9960058446555381
0.61,0.5666926218573374,0.5257901138542393,0.497354868807106,0.490997074607223,2.01414518135872,2.020989711080168,2.0266731459807588,2.0283533732224215,1.1414012136254954,1.0626164102870876,1.007975756634145,0.9959155725219018
0.62,0.5776230877882498,0.5329646562730045,0.5003941347053754,0.49055827421595577,2.019099856521466,2.0257055151951837,2.0310730709343003,2.032614630062217,1.1662786936767413,1.0796294436163305,1.0163370518535588,0.9971159250694246
0.63,0.5897752450068148,0.5406442639693848,0.5039454815669518,0.4915237665876687,2.024059390263046,2.030424320992831,2.0354759604159356,2.036879466681714,1.1937401228007323,1.097737262568707,1.0257689130897625,1.001174667548478
0.64,0.6025497527355084,0.5492042048270557,0.5081244460915674,0.4936251323769872,2.029022445298569,2.0351456006636743,2.039882818002396,2.0411485233020286,1.2225869727094494,1.1177105213197738,1.036514326989173,1.0075622100160557
0.65,0.615981878851575,0.5580681780792558,0.5129659937778637,0.4963507456878221,2.0339877043391783,2.039868976508467,2.04429332894671,2.045422231806807,1.252899567679849,1.1383859632404765,1.0486529590566063,1.015246850003758
0.66,0.6298524882581639,0.5671524504930816,0.5183368589462841,0.4995509332726377,2.03895386806395,2.0445939014577412,2.048707517811094,2.049700610615346,1.2842401672436867,1.1595964414749682,1.0619206196818407,1.0239298529623915
0.67,0.6444810074831813,0.5771620137721479,0.5240941064959597,0.5031909096004915,2.0439196532226607,2.0493198927914706,2.053125145704351,2.053983535654826,1.3172673973236149,1.1827895961868475,1.0760307887623088,1.0335458436105855
0.68,0.6595881541693556,0.5876933205825668,0.530211382431442,0.5075222241759244,2.048883790883749,2.0540464268797107,2.0575462157892965,2.0582710110096674,1.351419477736524,1.2071493652436938,1.090934423490225,1.044618281464455
0.6900000000000001,0.6754055387067657,0.5986554049030022,0.5367138392238894,0.5122646741724,2.053845024842075,2.05877302791374,2.061970493732619,2.0625629768939353,1.3871783054236722,1.23249560062908,1.1066881000576125,1.056578151318627
0.7000000000000001,0.6921256559406348,0.6101659248823569,0.5438080288314355,0.5172796591495384,2.058802110201704,2.0634989508301533,2.0663979209139205,2.066859356249545,1.4249497609753172,1.2590767458270535,1.1237237801535758,1.069144303310799
0.71,0.7092458872365934,0.6219939687237068,0.5511356672941441,0.5227645721946421,2.063753812149601,2.068223101943328,2.0708284865302025,2.071160079873181,1.4637089035359458,1.2864222953837863,1.1413074397755456,1.0827291131015242
0.72,0.7267414826245977,0.6343570888519636,0.5586130531746885,0.5283979784448292,2.0686989049370634,2.072945919418962,2.0752621959853457,2.0754651015004315,1.503409309277843,1.31498793879017,1.1592685514373826,1.0966715639656202
0.73,0.7446528524745121,0.6471778824560719,0.5664217176998599,0.5344456191440072,2.0736361710860183,2.077666654266837,2.079698755565299,2.079774498182596,1.5441390897935288,1.344619905758003,1.1779865414255577,1.1115263693611146
0.74,0.7629517047507496,0.6602846878754879,0.5750065183063162,0.5409674245701881,2.0785644008383497,2.082385032447184,2.0841378085605724,2.084088483353884,1.5858442530538392,1.3749669511859766,1.1983928249709705,1.1274239794163399
0.75,0.7816370523288143,0.673948247522757,0.5837964151452781,0.5476878987273919,2.0834823918669474,2.0871004568461164,2.0885777556809484,2.0884066640899768,1.6285270353578682,1.4065976952953856,1.2193042065187083,1.1437950575437215
0.76,0.801187762045622,0.6883539739287683,0.5927633294338379,0.5545510116266793,2.0883889492675674,2.0918120761528702,2.0930188015785434,2.0927287363437954,1.6731916685444903,1.4399071553320155,1.2406647933913186,1.160524837799674
0.77,0.821602909926724,0.7030921604040736,0.6021572324084643,0.5616172343922758,2.093282885851142,2.0965181788789464,2.0974620454807984,2.0970520391006167,1.7198473103151088,1.4740454957144125,1.263001940388514,1.177740566576371
0.78,0.8424189565560577,0.7181378081635965,0.6118774979522315,0.5692897899466912,2.0981630227560486,2.1012199509101217,2.1019068938563876,2.101378601236696,1.7675323043146545,1.5089654900162146,1.286109531141393,1.1962933824965105
0.79,0.8636367572898732,0.7335038541971342,0.6218245419601607,0.577308199992477,2.1030281903999786,2.105916374825524,2.1063535917020313,2.1057087914394357,1.8162524468462276,1.5446977775513786,1.3097823573662548,1.2156429520942347
0.8,0.8853272528015345,0.7491751441249355,0.632149202767636,0.585472340380842,2.1078772297900827,2.1106070320730135,2.110801857793419,2.1100422983786427,1.8661611570929628,1.5812143274444022,1.3343417116045546,1.2353714027343148
0.81,0.9075684522521756,0.765152611355114,0.6428391782273565,0.593801552346116,2.112708994209492,2.115291139000434,2.115249667038043,2.114379366415707,1.9174280319339594,1.6185205387825154,1.3597653577044249,1.255521750026244
0.8200000000000001,0.9303410389917802,0.7814389383035037,0.6537551661250134,0.6024809077458867,2.1175223512963353,2.119968494588425,2.119696237171393,2.118719859993887,1.9700179443933499,1.6566259296480559,1.3857623656665499,1.2764882645083548
0.8300000000000001,0.9535707435220097,0.7982562044463795,0.6648904696945614,0.6114909786867145,2.122316185529467,2.124638348324497,2.1241439249314986,2.123061862588906,2.0237786230241293,1.6960057437547376,1.4123230519465535,1.2982331761669292
0.84,0.9771964880180931,0.8158251698213546,0.6762282116277738,0.6206534759141079,2.127089401131946,2.1293002347079972,2.1285918250787,2.1274033368648135,2.0785842924866467,1.737136725581302,1.4394138431584684,1.3203802756964182
0.85,1.0012144866577326,0.8338327405786715,0.687910390351464,0.6301191491450808,2.1318409253995867,2.1339535004669967,2.1330400057207175,2.131748468937487,2.1344300177598927,1.7793602955618453,1.4673403829706277,1.3432555314382182
0.86,1.0256200804954767,0.8521617168976807,0.7002155115872662,0.639966757718275,2.136569712456941,2.1385975465381524,2.1374883032156817,2.1360958577895977,2.1913088004742853,1.8224309570111197,1.4967024657479662,1.3670303402850463
0.87,1.0504833655767847,0.8708232629747624,0.7127989491107237,0.6500361350087136,2.1412747474376714,2.1432294707462,2.1419363313628925,2.1404452568116117,2.2493735033129045,1.8663740810188791,1.5267699660575487,1.3913667619355534
0.88,1.0757874765859126,0.8898212102436573,0.7256064018786638,0.6602768574458013,2.145955051078526,2.147848946692722,2.146384058792126,2.144797451917544,2.308591569266561,1.9112015491666827,1.557430013949877,1.416160121409878
0.89,1.1015894189899744,0.9091536357957867,0.7386278804482492,0.670696012651376,2.1506096847088356,2.152457515223718,2.150831326356464,2.1491514539368417,2.3690888730526183,1.956914575861608,1.5886639837883714,1.4414273107393472
0.9,1.1277827638181055,0.92892416354878,0.7518890873697507,0.6812880855152971,2.15523775560725,2.157053593364463,2.155277658292982,2.153507643216431,2.4306399927038753,2.003739204945974,1.6205297515223234,1.4671590993894816
0.91,1.154368835444949,0.9491378246651885,0.7653945234204219,0.6920739709126879,2.1598384226871743,2.1616356529455416,2.159718571589453,2.157865789087232,2.493250164746649,2.0516901613554457,1.6530367668239436,1.4934027453502414
0.92,1.1813269286269537,0.9697626424274605,0.7791339899050043,0.7032099977607834,2.164410902460407,2.1662025468621335,2.1641519527449073,2.1622247011175437,2.556876883690246,2.1007023058781176,1.686164345702846,1.5204980272311786
0.93,1.2086018584054168,0.9908162612974829,0.7931091644221963,0.714903611906013,2.1689544752150423,2.170753711179296,2.16858381149999,2.166576791072073,2.6214024095416457,2.150818076308306,1.7199236947182586,1.5488935734091642
0.9400000000000001,1.2361794226907798,1.0122329162264583,0.807378090311832,0.7268345802836765,2.173468491330418,2.1752883168489965,2.173012227179004,2.1709262829686256,2.686797024849436,2.2018984365974035,1.754442462204045,1.577904293708303
0.9500000000000001,1.2640442189506682,1.0339982827940324,0.8219305769515014,0.7389877457736418,2.177952377636349,2.179804346281428,2.177434757513252,2.175277218595876,2.7530281121010898,2.2539139508819646,1.7897002065171197,1.607503208202924
0.96,1.2921796408266601,1.0561225524071731,0.8369135471233948,0.7513844119575139,2.1824056437092656,2.1843009271416225,2.1818520537166894,2.1796268959492275,2.820060140826315,2.306889470398165,1.8260215415744983,1.6377376734995917
0.97,1.3205837845418964,1.0786318136281323,0.8522385249691431,0.7640193629670362,2.186827887982628,2.188777437536814,2.1862616058129003,2.183973398563898,2.887889448453861,2.3608849770786695,1.8632163661346564,1.6685979647077422
0.98,1.3492275502720308,1.101500756392066,0.8679654230842039,0.7768929612239582,2.1912188035343214,2.1932333820481897,2.190662748377909,2.1883178441606654,2.956452778402623,2.41584822927041,1.9014195192306367,1.7000887300492078
