Cortical Curvature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,Precentral.left,Precentral.right,Frontal_Sup.left,Frontal_Sup.right,Frontal_Sup_Orb.left,Frontal_Sup_Orb.right,Frontal_Mid.left,Frontal_Mid.right,Frontal_Mid_Orb.left,Frontal_Mid_Orb.right,Frontal_Inf_Oper.left,Frontal_Inf_Oper.right,Frontal_Inf_Tri.left,Frontal_Inf_Tri.right,Frontal_Inf_Orb.left,Frontal_Inf_Orb.right,Rolandic_Oper.left,Rolandic_Oper.right,Supp_Motor_Area.left,Supp_Motor_Area.right,Olfactory.left,Olfactory.right,Frontal_Sup_Medial.left,Frontal_Sup_Medial.right,Frontal_Med_Orb.left,Frontal_Med_Orb.right,Rectus.left,Rectus.right,Insula.left,Insula.right,Cingulum_Ant.left,Cingulum_Ant.right,Cingulum_Mid.left,Cingulum_Mid.right,Cingulum_Post.left,Cingulum_Post.right,ParaHippocampal.left,ParaHippocampal.right,Calcarine.left,Calcarine.right,Cuneus.left,Cuneus.right,Lingual.left,Lingual.right,Occipital_Sup.left,Occipital_Sup.right,Occipital_Mid.left,Occipital_Mid.right,Occipital_Inf.left,Occipital_Inf.right,Fusiform.left,Fusiform.right,Postcentral.left,Postcentral.right,Parietal_Sup.left,Parietal_Sup.right,Parietal_Inf.left,Parietal_Inf.right,SupraMarginal.left,SupraMarginal.right,Angular.left,Angular.right,Precuneus.left,Precuneus.right,Paracentral.leftobule.left,Paracentral.leftobule.right,Heschl.left,Heschl.right,Temporal_Sup.left,Temporal_Sup.right,Temporal_Pole_Sup.left,Temporal_Pole_Sup.right,Temporal_Mid.left,Temporal_Mid.right,Temporal_Pole_Mid.left,Temporal_Pole_Mid.right,Temporal_Inf.left,Temporal_Inf.right
33,0.147854328155518,0.154151201248169,0.10636493563652,0.110840752720833,0.128015175461769,0.136222213506699,0.134137764573097,0.130961030721664,0.0779260545969009,0.0832026600837708,0.147923648357391,0.121529743075371,0.1247768253088,0.145886987447739,0.144988760352135,0.150260299444199,0.126582935452461,0.123092159628868,0.106118924915791,0.114686861634254,0.237026214599609,0.112409316003323,0.118945501744747,0.110029384493828,0.0808952674269676,0.0543444938957691,0.145350083708763,0.138076171278954,0.103327818214893,0.105821333825588,0.151499465107918,0.159222483634949,0.150162860751152,0.168234944343567,0.160153105854988,0.167006134986877,0.149994134902954,0.137625738978386,0.204574629664421,0.20435032248497,0.147749528288841,0.13538084924221,0.163544103503227,0.166762724518776,0.139809101819992,0.138594195246696,0.130327224731445,0.133482858538628,0.139126285910606,0.120500043034554,0.11370375007391,0.125052839517593,0.175687059760094,0.176522091031075,0.153564170002937,0.166128978133202,0.162836417555809,0.165581122040749,0.158386737108231,0.158652141690254,0.164476051926613,0.149593487381935,0.149009674787521,0.150133565068245,0.232343479990959,0.178303420543671,0.13347190618515,0.122808434069157,0.157288432121277,0.142130836844444,0.144181400537491,0.16204009950161,0.139385148882866,0.130044907331467,0.151334807276726,0.141178801655769,0.109626956284046,0.107145503163338
34,0.159757852554321,0.148687481880188,0.11149188131094,0.118140451610088,0.125402584671974,0.128159284591675,0.132806330919266,0.143227994441986,0.0894233286380768,0.0780001431703568,0.137194320559502,0.1557587236166,0.129556179046631,0.149141862988472,0.133855983614922,0.138851776719093,0.129389122128487,0.137788519263268,0.118769019842148,0.112509876489639,0.274480909109116,0.124763436615467,0.121204949915409,0.104479096829891,0.0816677957773209,0.0905003845691681,0.159562110900879,0.144274041056633,0.107740789651871,0.11288857460022,0.168058335781097,0.163895606994629,0.157672807574272,0.176227554678917,0.205985084176064,0.169372498989105,0.141090422868729,0.115121744573116,0.204810589551926,0.201890245079994,0.136131688952446,0.125289708375931,0.174731969833374,0.169428378343582,0.158746376633644,0.146229162812233,0.151674792170525,0.144211933016777,0.168197721242905,0.163647219538689,0.131178230047226,0.139157876372337,0.187154293060303,0.187478631734848,0.15751639008522,0.179137870669365,0.160859256982803,0.165070563554764,0.162199437618256,0.158813744783402,0.165511131286621,0.153551533818245,0.166591018438339,0.146015137434006,0.210187569260597,0.185628324747086,0.131398990750313,0.110355384647846,0.150950491428375,0.141679748892784,0.156592160463333,0.166947707533836,0.141882434487343,0.144267275929451,0.139182299375534,0.139224499464035,0.123244479298592,0.112176351249218
35,0.164116650819778,0.161960080265999,0.144650548696518,0.1245958507061,0.14449904859066,0.153226017951965,0.154859945178032,0.174118787050247,0.0948347076773644,0.0995654612779617,0.143452063202858,0.137286335229874,0.135034307837486,0.134316504001617,0.145682781934738,0.145695433020592,0.156697750091553,0.134235471487045,0.11696545779705,0.123812817037106,0.292407244443893,0.139813855290413,0.116519398987293,0.110539183020592,0.086833119392395,0.107874304056168,0.147510170936584,0.154411762952805,0.107335299253464,0.106244221329689,0.190131887793541,0.187895447015762,0.174587890505791,0.167678892612457,0.213704034686089,0.173913359642029,0.147735729813576,0.137974292039871,0.198258250951767,0.213431134819984,0.169332951307297,0.189282685518265,0.219103202223778,0.20863863825798,0.153508991003037,0.167048215866089,0.156109526753426,0.2013288885355,0.171672984957695,0.19866606593132,0.142436847090721,0.147153571248055,0.183033257722855,0.180021539330482,0.167521312832832,0.176680281758308,0.190058171749115,0.174078956246376,0.214662149548531,0.161035165190697,0.169616416096687,0.191971033811569,0.184371367096901,0.146932929754257,0.24371874332428,0.211540549993515,0.176709875464439,0.130140915513039,0.194406926631928,0.141317933797836,0.155126020312309,0.166436016559601,0.182943463325501,0.17201754450798,0.157488629221916,0.150182902812958,0.147272974252701,0.123403832316399
36,0.166863784193993,0.176579460501671,0.177371934056282,0.161687791347504,0.151567652821541,0.15440958738327,0.175782114267349,0.189963594079018,0.119199924170971,0.125586152076721,0.178320229053497,0.146008759737015,0.153659269213676,0.156543418765068,0.149394735693932,0.158992677927017,0.148321732878685,0.149742856621742,0.143924102187157,0.147495597600937,0.176809042692184,0.136389672756195,0.119543924927711,0.122516945004463,0.100610621273518,0.0886909291148186,0.170472383499146,0.154959410429001,0.103607341647148,0.112477444112301,0.177744790911675,0.16684202849865,0.171688452363014,0.154489651322365,0.178238943219185,0.188081860542297,0.141711115837097,0.125461995601654,0.234600737690926,0.254808574914932,0.179071500897408,0.176082894206047,0.235439985990524,0.19432345032692,0.162520825862885,0.18185456097126,0.186890408396721,0.187351554632187,0.20187009871006,0.192501753568649,0.156233578920364,0.167877301573753,0.179978281259537,0.186035454273224,0.189483433961868,0.199158772826195,0.189245402812958,0.168757900595665,0.174696058034897,0.172150373458862,0.186782538890839,0.185362800955772,0.18810860812664,0.175153329968452,0.217485845088959,0.19250525534153,0.166195720434189,0.124199733138084,0.177699342370033,0.144660443067551,0.159427493810654,0.167187228798866,0.186925619840622,0.170979008078575,0.16957314312458,0.190017491579056,0.169443219900131,0.152296274900436
37,0.180117294192314,0.181475758552551,0.183965846896172,0.165588229894638,0.146660447120667,0.147832155227661,0.176245048642159,0.175454959273338,0.115372650325298,0.112311311066151,0.130248069763184,0.129294976592064,0.158038198947907,0.166848242282867,0.15658350288868,0.156054556369782,0.166565716266632,0.152482748031616,0.15311972796917,0.154908880591393,0.197080954909325,0.13690285384655,0.131117597222328,0.131325021386147,0.112552337348461,0.135414108633995,0.165136188268662,0.162906467914581,0.106724418699741,0.116258412599564,0.175408378243446,0.201390624046326,0.164895206689835,0.162622824311256,0.176882281899452,0.170613676309586,0.143387407064438,0.123296357691288,0.224943816661835,0.247475937008858,0.224030613899231,0.179789200425148,0.202459797263145,0.208314940333366,0.158460840582848,0.177420601248741,0.183113932609558,0.192336350679398,0.222144424915314,0.21639695763588,0.176737636327744,0.171592593193054,0.196170091629028,0.187722131609917,0.190810576081276,0.191879168152809,0.185744002461433,0.180411756038666,0.222858801484108,0.178477019071579,0.204821452498436,0.221145316958427,0.200199872255325,0.177097827196121,0.204392448067665,0.180939435958862,0.178991377353668,0.142835944890976,0.156772077083588,0.15101832151413,0.17846243083477,0.175516724586487,0.187311664223671,0.173985183238983,0.180625304579735,0.188837602734566,0.17806750535965,0.18803907930851
38,0.161661893129349,0.169407710433006,0.180408000946045,0.172363862395287,0.147832676768303,0.143885269761086,0.186490803956985,0.186428233981133,0.129552945494652,0.125573694705963,0.12955442070961,0.16933299601078,0.163751617074013,0.15885503590107,0.157375827431679,0.153435841202736,0.161203801631928,0.173509687185287,0.144292250275612,0.157692521810532,0.208199515938759,0.145000457763672,0.143589079380035,0.135368630290031,0.136584475636482,0.17748036980629,0.179233759641647,0.168133035302162,0.111676998436451,0.117849253118038,0.189269259572029,0.184623703360558,0.16002844274044,0.180581480264664,0.178819671273232,0.174580350518227,0.138105317950249,0.123753130435944,0.228208601474762,0.23728258907795,0.198840826749802,0.225401610136032,0.217713072896004,0.1928900629282,0.176543653011322,0.19314780831337,0.187833026051521,0.211274087429047,0.240549683570862,0.210650935769081,0.188424944877625,0.169968068599701,0.19427390396595,0.198321148753166,0.215844824910164,0.214082106947899,0.171917915344238,0.192419901490212,0.218287691473961,0.175876662135124,0.181804463267326,0.196998700499535,0.190498575568199,0.196447968482971,0.191131353378296,0.215366065502167,0.177895307540894,0.189934074878693,0.16604109108448,0.147250562906265,0.17093563079834,0.167054235935211,0.186634480953217,0.184428855776787,0.183023750782013,0.179838672280312,0.181915178894997,0.186779126524925
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cortical FDrad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,Precentral.left,Precentral.right,Frontal_Sup.left,Frontal_Sup.right,Frontal_Sup_Orb.left,Frontal_Sup_Orb.right,Frontal_Mid.left,Frontal_Mid.right,Frontal_Mid_Orb.left,Frontal_Mid_Orb.right,Frontal_Inf_Oper.left,Frontal_Inf_Oper.right,Frontal_Inf_Tri.left,Frontal_Inf_Tri.right,Frontal_Inf_Orb.left,Frontal_Inf_Orb.right,Rolandic_Oper.left,Rolandic_Oper.right,Supp_Motor_Area.left,Supp_Motor_Area.right,Olfactory.left,Olfactory.right,Frontal_Sup_Medial.left,Frontal_Sup_Medial.right,Frontal_Med_Orb.left,Frontal_Med_Orb.right,Rectus.left,Rectus.right,Insula.left,Insula.right,Cingulum_Ant.left,Cingulum_Ant.right,Cingulum_Mid.left,Cingulum_Mid.right,Cingulum_Post.left,Cingulum_Post.right,ParaHippocampal.left,ParaHippocampal.right,Calcarine.left,Calcarine.right,Cuneus.left,Cuneus.right,Lingual.left,Lingual.right,Occipital_Sup.left,Occipital_Sup.right,Occipital_Mid.left,Occipital_Mid.right,Occipital_Inf.left,Occipital_Inf.right,Fusiform.left,Fusiform.right,Postcentral.left,Postcentral.right,Parietal_Sup.left,Parietal_Sup.right,Parietal_Inf.left,Parietal_Inf.right,SupraMarginal.left,SupraMarginal.right,Angular.left,Angular.right,Precuneus.left,Precuneus.right,Paracentral.leftobule.left,Paracentral.leftobule.right,Heschl.left,Heschl.right,Temporal_Sup.left,Temporal_Sup.right,Temporal_Pole_Sup.left,Temporal_Pole_Sup.right,Temporal_Mid.left,Temporal_Mid.right,Temporal_Pole_Mid.left,Temporal_Pole_Mid.right,Temporal_Inf.left,Temporal_Inf.right
23,0.511119902133942,0.506717443466187,0.507483601570129,0.568421006202698,0.514854967594147,0.475554019212723,0.544167697429657,0.529082298278809,0.601028561592102,0.637530267238617,0.609612464904785,0.566253840923309,0.57623165845871,0.632667064666748,0.527446687221527,0.575692176818848,0.604847848415375,0.646381497383118,0.526238262653351,0.558440089225769,0.344940632581711,0.429748952388763,0.545382738113403,0.547375321388245,0.542475581169128,0.519674718379974,0.59518313407898,0.529642581939697,0.436514407396317,0.43517741560936,0.456482589244843,0.406452119350433,0.494857907295227,0.490364819765091,0.599885523319244,0.551683604717255,0.416937828063965,0.413340866565704,0.679019451141357,0.628817021846771,0.708080589771271,0.661241471767426,0.574242889881134,0.564392685890198,0.726594686508179,0.690340220928192,0.713833451271057,0.715296387672424,0.637099087238312,0.658086538314819,0.504730105400085,0.482639998197556,0.571820855140686,0.569671988487244,0.672991752624512,0.681797921657562,0.713573217391968,0.697245895862579,0.708019256591797,0.732369184494019,0.750247716903687,0.759553134441376,0.659313261508942,0.642563402652741,0.592753112316132,0.588202118873596,0.612339556217194,0.6145960688591,0.69949209690094,0.686528325080872,0.48874306678772,0.493093073368073,0.716491162776947,0.724676907062531,0.591646790504456,0.55042976140976,0.565886378288269,0.575858950614929
